Name: 佛山公共, URL: http://tenfarr.com:4000/udp/239.253.43.53:5146, Date: 08-20-2024, Resolution: 1920x1080, Response Time: 24680ms
Name: TVBS新闻, URL: http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8574/.m3u8, Date: 08-20-2024, Resolution: 1920x1080, Response Time: 49600ms
Name: TVBS新闻, URL: http://23.26.147.19:1258/proxy/Smartv.php?id=tvbs_n, Date: 08-18-2024, Resolution: None, Response Time: 981ms
Name: TVBS新闻, URL: http://awei.beimua.com/iptv.php?id=54, Date: 06-02-2023, Resolution: None, Response Time: 51505ms
Name: TVBS亚洲, URL: http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8, Date: 08-14-2024, Resolution: 1920x1080, Response Time: 516ms
Name: TVBS亚洲, URL: http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd, Date: 07-04-2024, Resolution: 1920x1080, Response Time: 48695ms
Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/playlist.m3u8, Date: 01-01-2024, Resolution: None, Response Time: 515ms
Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8, Date: 06-02-2023, Resolution: None, Response Time: 515ms
Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8, Date: 02-20-2024, Resolution: None, Response Time: 516ms
Name: TVBS亚洲, URL: http://metatvpro.xyz:25461/W1045/4329/59, Date: 07-30-2024, Resolution: None, Response Time: 51134ms
Name: 凤凰中文, URL: http://117.27.190.42:9998/tsfile/live/23280_1.m3u8, Date: 06-09-2024, Resolution: 1920x1080, Response Time: 781ms
Name: 凤凰中文, URL: http://ayolee.com:5253/udp/239.93.0.162:2192, Date: 08-19-2024, Resolution: 1920x1080, Response Time: 48371ms
Name: 凤凰中文, URL: http://wouu.net:9977/udp/239.93.0.162:2192, Date: 08-02-2024, Resolution: 1920x1080, Response Time: 48548ms
